City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,-2.27,74,75,2.06,US,1732995005
1,constantia,44.1833,28.65,6.5,76,92,9.16,RO,1732994983
2,fontanelas,38.8472,-9.4372,17.87,80,20,1.54,PT,1732995008
3,grytviken,-54.2811,-36.5092,3.21,83,44,5.23,GS,1732995009
4,anadyr,64.75,177.4833,-0.72,86,40,14.75,RU,1732994710
5,waitangi,-43.9535,-176.5597,12.12,77,13,5.81,NZ,1732995011
6,igarka,67.4667,86.5833,-12.35,80,100,10.82,RU,1732995012
7,papao,-17.75,-149.55,29.82,74,24,3.61,PF,1732995013
8,bredasdorp,-34.5322,20.0403,18.14,74,64,2.99,ZA,1732995014
9,meadow lakes,61.6247,-149.6011,-10.33,55,100,0.34,US,1732995015
10,iqaluit,63.7506,-68.5145,-4.15,68,100,5.66,CA,1732995016
11,georgetown,5.4112,100.3354,25.96,87,40,1.54,MY,1732995017
12,saipan,15.1355,145.701,28.39,83,20,5.14,MP,1732995019
13,la passe,45.5549,-0.8967,12.39,86,87,4.05,FR,1732995020
14,nizhniy ingash,56.2,96.53,-15.67,93,5,1.82,RU,1732995021
15,bethel,41.3712,-73.414,3.07,54,100,3.6,US,1732995013
16,klyuchi,52.2667,79.1667,-15.35,97,19,2.07,RU,1732995023
17,roma,43.2128,-75.4557,1.08,59,100,8.23,US,1732995024
18,ushuaia,-54.8,-68.3,9.81,57,75,12.35,AR,1732994890
19,port-aux-francais,-49.35,70.2167,6.45,94,78,14.56,TF,1732995026
20,pangkalanbuun,-2.6833,111.6167,23.11,99,100,0.79,ID,1732995027
21,luderitz,-26.6481,15.1594,19.4,52,0,9.94,NA,1732995028
22,adamstown,-25.066,-130.1015,22.91,81,58,7.26,PN,1732995029
23,blackmans bay,-43.0167,147.3167,16.07,96,100,3.2,AU,1732995030
24,sitka,57.0531,-135.33,-2.06,59,20,2.57,US,1732994831
25,albany,42.6001,-73.9662,0.78,63,100,1.79,US,1732994771
26,kudahuvadhoo,2.6708,72.8944,27.87,71,15,9.07,MV,1732995033
27,wailua homesteads,22.0669,-159.378,23.4,91,20,2.57,US,1732995035
28,prince rupert,54.3161,-130.3201,4.05,100,100,3.6,CA,1732995036
29,acarau,-2.8856,-40.12,28.28,68,89,8.42,BR,1732995037
30,hadibu,12.65,54.0333,25.43,72,100,5.09,YE,1732995038
31,antsiranana,-12.2787,49.2917,25.24,82,99,0.33,MG,1732995041
32,al qadarif,14.0349,35.3834,25.82,25,0,5.12,SD,1732995042
33,iskateley,67.6803,53.1512,-4.24,81,94,8.14,RU,1732995043
34,vilyuchinsk,52.9306,158.4028,0.15,94,100,2.59,RU,1732995045
35,forster,-32.1667,152.5167,19.65,100,100,1.79,AU,1732995046
36,sandnessjoen,66.0217,12.6316,2.59,88,100,7.67,NO,1732995047
37,bilibino,68.0546,166.4372,-17.87,100,100,1.44,RU,1732995048
38,zhirnovsk,50.9845,44.7735,-2.54,95,75,1.46,RU,1732995049
39,puerto natales,-51.7236,-72.4875,11.25,58,40,11.83,CL,1732995050
40,hamilton,39.1834,-84.5333,2.1,41,0,5.66,US,1732995040
41,tadine,-21.55,167.8833,24.97,81,0,5.19,NC,1732995052
42,west island,-12.1568,96.8225,26.99,94,75,1.54,CC,1732995053
43,zhelezinka,53.54,75.3072,-17.7,98,69,1.66,KZ,1732995054
44,longyearbyen,78.2186,15.6401,-9.09,57,40,5.14,SJ,1732995055
45,leer,53.2316,7.461,3.3,89,0,3.66,DE,1732995056
46,ballesteros,18.4126,121.5152,22.63,88,98,1.52,PH,1732995058
47,vesoul,47.5833,5.8333,1.38,76,25,0.54,FR,1732995059
48,whitehorse,60.7161,-135.0538,-31.5,74,0,0.0,CA,1732995060
49,rio grande,-32.035,-52.0986,20.52,63,0,5.72,BR,1732995061
50,zaozersk,69.4005,32.4476,-7.19,85,60,10.5,RU,1732995062
51,kolyshley,52.7005,44.5367,-5.56,100,99,2.13,RU,1732995063
52,guerrero negro,27.9769,-114.0611,25.61,26,100,0.22,MX,1732995064
53,invercargill,-46.4,168.35,13.34,86,2,3.58,NZ,1732995066
54,qamdo,31.1667,97.2333,-6.55,46,21,0.28,CN,1732995067
55,betioky,-23.7167,44.3833,21.81,56,0,5.78,MG,1732995068
56,nar'yan-mar,67.6713,53.087,-4.29,80,95,8.21,RU,1732995069
57,port alfred,-33.5906,26.891,18.43,85,100,1.68,ZA,1732995070
58,fortuna foothills,32.6578,-114.4119,22.34,18,0,5.14,US,1732994954
59,utrik,11.2278,169.8474,27.97,81,81,11.2,MH,1732995072
60,hithadhoo,-0.6,73.0833,26.86,81,100,8.58,MV,1732995073
61,shalqar,47.8333,59.6,-0.77,63,91,2.91,KZ,1732995075
62,springbok,-29.6643,17.8865,17.45,42,4,2.57,ZA,1732995076
63,east london,-33.0153,27.9116,19.88,76,100,2.47,ZA,1732995077
64,olonkinbyen,70.9221,-8.7187,-10.59,64,100,6.87,SJ,1732995078
65,cobourg,50.2667,10.9667,-0.8,83,32,0.82,DE,1732995079
66,holdrege,40.4403,-99.3698,-0.97,64,100,0.0,US,1732995080
67,floro,61.5996,5.0328,9.98,93,100,9.26,NO,1732995081
